year,month,day_of_month,day_of_year,year_dec,frac_of_year,CO2
1993,3,7,65.5174999999861,1993.1795,0.179499999999962,358.43
1993,3,14,72.4889999999789,1993.1986,0.198599999999942,358.79
1993,3,21,79.4969999999626,1993.2178,0.217799999999897,357.95
1993,3,28,86.5050000000292,1993.237,0.23700000000008,359.31
1993,4,4,93.5130000000129,1993.2562,0.256200000000035,358.95
1993,4,11,100.484500000006,1993.2753,0.275300000000016,359.22
1993,4,18,107.492499999989,1993.2945,0.294499999999971,359.74
1993,4,25,114.500499999973,1993.3137,0.313699999999926,359.87
1993,5,2,121.50850000004,1993.3329,0.332900000000109,359.59
1993,5,9,128.516500000023,1993.3521,0.352100000000064,360.23
1993,5,16,135.488000000016,1993.3712,0.371200000000044,360.67
1993,5,23,142.496,1993.3904,0.3904,360.87
1993,5,30,149.503999999984,1993.4096,0.409599999999955,360.11
1993,6,6,156.511999999967,1993.4288,0.42879999999991,359.89
1993,6,13,163.48349999996,1993.4479,0.44789999999989,359.77
1993,6,20,170.491500000027,1993.4671,0.467100000000073,359.3
1993,6,27,177.49950000001,1993.4863,0.486300000000028,358.81
1993,7,4,184.507499999994,1993.5055,0.505499999999984,357.84
1993,7,11,191.515499999978,1993.5247,0.524699999999939,357.84
1993,7,18,198.486999999971,1993.5438,0.543799999999919,357.22
1993,7,25,205.495000000037,1993.563,0.563000000000102,356.65
1993,8,1,212.503000000021,1993.5822,0.582200000000057,356.55
1993,8,8,219.511000000005,1993.6014,0.601400000000012,355.89
1993,8,15,226.482499999997,1993.6205,0.620499999999993,355.52
1993,8,22,233.490499999981,1993.6397,0.639699999999948,354.94
1993,8,29,240.498499999965,1993.6589,0.658899999999903,354.91
1993,9,5,247.506500000031,1993.6781,0.678100000000086,354.29
1993,9,12,254.514500000015,1993.6973,0.697300000000041,353.95
1993,9,19,261.486000000008,1993.7164,0.716400000000021,354.1
1993,9,26,268.493999999992,1993.7356,0.735599999999977,354.27
1993,10,3,275.501999999975,1993.7548,0.754799999999932,354.17
1993,10,10,282.509999999959,1993.774,0.773999999999887,353.99
1993,10,17,289.518000000025,1993.7932,0.79320000000007,354.46
1993,10,24,296.489500000018,1993.8123,0.81230000000005,354.45
1993,10,31,303.497500000002,1993.8315,0.831500000000005,354.74
1993,11,7,310.505499999986,1993.8507,0.850699999999961,355.12
1993,11,14,317.513499999969,1993.8699,0.869899999999916,355.73
1993,11,21,324.484999999962,1993.889,0.888999999999896,356.1
1993,11,28,331.493000000029,1993.9082,0.908200000000079,356.25
1993,12,5,338.501000000012,1993.9274,0.927400000000034,356.64
1993,12,12,345.508999999996,1993.9466,0.946599999999989,356.72
1993,12,19,352.51699999998,1993.9658,0.965799999999945,357.64
1993,12,26,359.488499999973,1993.9849,0.984899999999925,357.59
1994,1,2,1.4965000000393,1994.0041,0.00410000000010768,358.23
1994,1,9,8.50450000002297,1994.0233,0.0233000000000629,358.24
1994,1,16,15.5125000000066,1994.0425,0.0425000000000182,358.52
1994,1,23,22.4839999999995,1994.0616,0.0615999999999985,358.36
1994,1,30,29.4919999999831,1994.0808,0.0807999999999538,358.39
1994,2,6,36.4999999999668,1994.1,0.0999999999999091,359.04
1994,2,13,43.5080000000335,1994.1192,0.119200000000092,358.76
1994,2,20,50.5160000000171,1994.1384,0.138400000000047,359.52
1994,2,27,57.48750000001,1994.1575,0.157500000000027,359
1994,3,6,64.4954999999936,1994.1767,0.176699999999983,359.46
1994,3,13,71.5034999999773,1994.1959,0.195899999999938,360.59
1994,3,20,78.511499999961,1994.2151,0.215099999999893,360.73
1994,3,27,85.4830000000368,1994.2342,0.234200000000101,360.94
1994,4,3,92.4910000000204,1994.2534,0.253400000000056,361.22
1994,4,10,99.4990000000041,1994.2726,0.272600000000011,361.14
1994,4,17,106.506999999988,1994.2918,0.291799999999967,361.43
1994,4,24,113.514999999971,1994.311,0.310999999999922,361.95
1994,5,1,120.486499999964,1994.3301,0.330099999999902,362.12
1994,5,8,127.494500000031,1994.3493,0.349300000000085,361.51
1994,5,15,134.502500000015,1994.3685,0.36850000000004,361.83
1994,5,22,141.510499999998,1994.3877,0.387699999999995,361.64
1994,5,29,148.481999999991,1994.4068,0.406799999999976,361.54
1994,6,5,155.489999999975,1994.426,0.425999999999931,361.02
1994,6,12,162.498000000041,1994.4452,0.445200000000114,361.03
1994,6,19,169.506000000025,1994.4644,0.464400000000069,360.95
1994,6,26,176.514000000009,1994.4836,0.483600000000024,360.16
1994,7,3,183.485500000002,1994.5027,0.502700000000004,360.09
1994,7,10,190.493499999985,1994.5219,0.52189999999996,359.77
1994,7,17,197.501499999969,1994.5411,0.541099999999915,359.34
1994,7,24,204.509500000036,1994.5603,0.560300000000097,358.96
1994,7,31,211.517500000019,1994.5795,0.579500000000053,358.6
1994,8,7,218.489000000012,1994.5986,0.598600000000033,358.01
1994,8,14,225.496999999996,1994.6178,0.617799999999988,357.82
1994,8,21,232.504999999979,1994.637,0.636999999999944,356.99
1994,8,28,239.512999999963,1994.6562,0.656199999999899,356.32
1994,9,4,246.484500000039,1994.6753,0.675300000000107,356.61
